,sex,age,address,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,activities,higher,health,absences,M1,M2,M3
385,0,18,0,2,2,0,2,2,3,0,0,1,4,2,1,1,1
386,0,18,0,4,4,4,0,3,1,0,1,1,5,7,1,1,1
387,0,19,0,2,3,3,2,1,3,1,1,1,5,0,1,1,0
388,0,18,1,3,1,4,3,1,2,0,0,1,1,0,1,1,1
389,0,18,1,1,1,2,2,2,2,1,1,1,5,0,1,1,0
390,1,20,1,2,2,3,3,1,2,2,0,1,4,11,1,1,1
391,1,17,1,3,1,3,3,2,1,0,0,1,2,3,2,2,2
392,1,21,0,1,1,2,2,1,1,3,0,1,3,3,1,1,1
393,1,18,0,3,2,3,2,3,1,0,0,1,5,0,1,1,1
394,1,19,1,1,1,2,0,1,1,0,0,1,5,5,1,1,1
