sex,age,address,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,activities,higher,health,absences,M1,M2,M3
M,17,U,2,3,other,services,2,2,0,yes,yes,3,2,55,55,50
M,19,R,1,1,other,services,2,1,1,no,yes,5,0,30,25,0
M,18,R,4,2,other,other,2,1,1,no,yes,3,14,30,25,25
F,18,R,2,2,at_home,other,2,3,0,no,yes,4,2,50,45,50
F,18,R,4,4,teacher,at_home,3,1,0,yes,yes,5,7,30,25,30
F,19,R,2,3,services,other,1,3,1,yes,yes,5,0,35,25,0
F,18,U,3,1,teacher,services,1,2,0,no,yes,1,0,35,45,40
F,18,U,1,1,other,other,2,2,1,yes,yes,5,0,30,25,0
M,20,U,2,2,services,services,1,2,2,no,yes,4,11,45,45,45
M,17,U,3,1,services,services,2,1,0,no,yes,2,3,70,80,80
M,21,R,1,1,other,other,1,1,3,no,yes,3,3,50,40,35
M,18,R,3,2,services,other,3,1,0,no,yes,5,0,55,60,50
M,19,U,1,1,other,at_home,1,1,0,no,yes,5,5,40,45,45
